Price,Date,Close,High,Low,Open,Volume
Ticker,,META,META,META,META,META
0,2021-01-04,267.07440185546875,273.0923620269373,263.3603554297846,272.87388692508046,15106100
1,2021-01-05,269.09033203125,270.51040511016924,266.34946794704973,266.4289299730203,9871600
2,2021-01-06,261.4834899902344,265.8926933805679,258.20639328660985,260.1825795171197,24354100
3,2021-01-07,266.87579345703125,269.72587997913473,262.94327168855403,264.05549761855696,15789800
4,2021-01-08,265.7138977050781,267.08432961533265,261.35433620233744,266.44875469224866,18528300
5,2021-01-11,255.05833435058594,261.6423478463724,254.12485257045407,258.67309874273616,30412300
6,2021-01-12,249.34823608398438,257.9183763775455,248.56372282065897,254.84981471600418,26383500
7,2021-01-13,249.8944091796875,252.188382619965,247.4713326816302,249.80503713335122,19528900
8,2021-01-14,243.93605041503906,253.2609135081913,242.91319650371236,251.64221559963207,29739400
9,2021-01-15,249.61634826660156,252.0990060846761,245.44548616282455,246.1803431790925,24942900
10,2021-01-19,259.2887878417969,260.38116333981225,250.9669140103909,255.11791059696782,28028500
11,2021-01-20,265.62451171875,268.44480710364064,261.7714222910091,267.064434937094,25199900
12,2021-01-21,270.97711181640625,271.70205875894015,265.634427714856,267.3921687234662,20838700
13,2021-01-22,272.5958557128906,276.53831793488985,270.1131976462887,270.12313797643816,21954000
14,2021-01-25,276.0815124511719,278.1570109214201,269.626601592223,276.2106155172923,19087000
15,2021-01-26,280.09344482421875,283.4103023609769,275.88286683391283,276.2105946394288,19373600
16,2021-01-27,270.252197265625,281.4837381150198,266.2600643454643,280.57010675992376,35346200
17,2021-01-28,263.1617126464844,284.8005653531378,262.8638058488591,275.2572135241456,37758800
18,2021-01-29,256.5379943847656,264.71091515254716,253.08215396222317,263.45964586527754,30389500
19,2021-02-01,260.19244384765625,262.3374635439147,253.14169055369038,257.7196963932303,22914300
20,2021-02-02,265.227294921875,266.9850361074179,261.44372671411134,262.16867372961775,17320800
21,2021-02-03,264.80029296875,267.3326222811993,262.0097878354705,263.7774390975395,14223400
22,2021-02-04,264.6413879394531,266.2998167269826,262.16867040510544,265.1578001708641,16060000
23,2021-02-05,266.2402648925781,267.30284984950276,263.82712845483695,264.94926447674237,12454400
24,2021-02-08,264.7307434082031,267.98798910915104,263.1617170711961,266.8857036335244,13755200
25,2021-02-09,267.5808410644531,271.4935117614484,263.9064957927763,264.5917116964451,14613400
26,2021-02-10,269.9841003417969,271.900705136719,265.86289392443064,270.56009399684086,14687200
27,2021-02-11,268.5143737792969,271.68221751277923,266.62752945048277,270.00396858253924,12828600
28,2021-02-12,268.62359619140625,269.29887189548083,266.4785760379777,268.64344654533176,9097600
29,2021-02-16,272.0694580078125,274.6812184189397,268.17663790373155,268.92143511728295,15417200
30,2021-02-17,271.6723327636719,272.06955202031486,267.7099896104113,269.358478316072,12763200
31,2021-02-18,267.5212707519531,270.0635097465597,264.1845631303574,267.70001482832095,15249100
32,2021-02-19,259.7456359863281,268.3952088990513,258.34541308765796,267.9880493067384,25622600
33,2021-02-22,258.5240783691406,261.2450916067546,255.74351408166407,256.1606138777245,17434900
34,2021-02-23,264.01568603515625,265.60459272422236,253.19132172175935,257.69982058610833,21924600
35,2021-02-24,262.4764709472656,264.53211856678286,256.59755514128494,260.5101953582652,15736100
36,2021-02-25,252.92324829101562,265.08827150301914,252.2777481716755,260.480444082425,19053100
37,2021-02-26,255.83294677734375,263.7079309890507,254.6909301136926,254.6909301136926,26619500
38,2021-03-01,263.07232666015625,264.8002466065348,256.1109452345398,259.0107025698377,22157300
39,2021-03-02,257.20330810546875,264.8598150850479,256.8557300063131,263.9362738003962,15191700
40,2021-03-03,253.63824462890625,259.17952327480714,253.33039749890509,258.48439730307683,15513500
41,2021-03-04,255.85276794433594,264.64135132099676,251.74147254413108,254.69087089031518,31626500
42,2021-03-05,262.44671630859375,263.6086134766132,253.83686100228493,258.8617730445713,26820100
43,2021-03-08,253.5389404296875,263.7376876689268,253.28074947590162,263.7078969878338,18391800
44,2021-03-09,263.8965759277344,266.6672304354155,258.00771907545925,259.3682106602773,22039700
45,2021-03-10,263.0624084472656,267.1041825272053,261.04649157172383,266.77648503964184,14210300
46,2021-03-11,271.9801330566406,275.9722359021643,265.96217295395087,266.2501394394714,21834000
47,2021-03-12,266.53814697265625,267.86884797479286,262.1885254683939,267.2730343215098,20600200
48,2021-03-15,271.85101318359375,274.0456740646534,266.6374321088399,267.21339535013044,16844800
49,2021-03-16,277.3426818847656,280.18285832005444,272.8937479573369,274.16486760719044,22437700
50,2021-03-17,282.0398864746094,284.24448797008944,273.49953697383603,273.7974438086778,21315000
51,2021-03-18,276.687255859375,283.2116881663582,276.3496180179357,277.92858482314426,18728300
52,2021-03-19,288.0975341796875,290.76887646170974,279.2493682351889,279.26921858795276,38930500
53,2021-03-22,291.5037536621094,297.63093607672175,284.76084666263773,288.4351922903145,28273100
54,2021-03-23,288.6139831542969,295.9328546089386,287.7996639990744,291.1164916858374,23000900
55,2021-03-24,280.1828308105469,289.69636174407646,279.2096180859463,288.98135511711854,18675000
56,2021-03-25,276.806396484375,286.0617517724904,275.82327372146733,279.03087841779615,24505600
57,2021-03-26,281.05670166015625,282.5264459269405,275.84312049630233,276.3694427158467,17629200
58,2021-03-29,288.8026123046875,291.1462266275226,282.7250711018045,283.7876255653244,21718800
59,2021-03-30,286.002197265625,290.44119091458725,284.7112272475432,287.819489559495,17474500
60,2021-03-31,292.48687744140625,294.4432129861294,286.60793047822534,287.9783624230208,19498200
61,2021-04-01,296.5882873535156,300.30233437933396,294.5425793900651,296.33008119890394,17616000
62,2021-04-05,306.76715087890625,308.6142338487392,298.5942299891719,298.80279507741744,28237000
63,2021-04-06,304.1355285644531,309.1902163371081,303.13252508986074,306.6976181446294,17335200
64,2021-04-07,310.9181823730469,312.07013942816747,303.3808356254739,304.2150051538261,22855200
65,2021-04-08,310.8486328125,313.6888093314046,307.8992338881179,312.6659554448147,20894100
66,2021-04-09,310.29248046875,312.55666307145435,308.1772512663788,309.23983603188884,15988600
67,2021-04-12,309.3789367675781,309.9846908098651,305.7939626368871,308.89231516176454,10881900
68,2021-04-13,307.6112365722656,312.2488242933257,307.17428638234855,310.04422299179186,14036900
69,2021-04-14,300.7193603515625,305.8932103611847,299.8554003462069,305.16826342390004,17421400
70,2021-04-15,305.6846923828125,307.9886060607909,301.99049641842674,304.2149480766785,14558300
71,2021-04-16,304.0560302734375,306.8068342534468,302.49691404794436,306.03224630477484,13059200
72,2021-04-19,300.1434326171875,305.5655798842235,298.47509359927756,302.8942372670993,14553500
73,2021-04-20,300.5505676269531,302.9835845586107,295.1483014626396,299.89514228651615,16796400
74,2021-04-21,299.3787536621094,299.8852255743065,295.3270692821806,299.8554348915821,14863500
75,2021-04-22,294.46307373046875,300.8187021222801,293.98642281520046,299.23970504780726,16375400
76,2021-04-23,299.0411071777344,300.49097087154496,295.0887049838903,296.68755239289857,17536800
77,2021-04-26,300.9378356933594,303.6786691082406,299.4680914666265,301.235742486538,16172600
78,2021-04-27,301.4642028808594,303.2219138346447,299.0212455887572,302.1692692671732,15309300
79,2021-04-28,304.9696960449219,308.7632045092743,303.25168590435214,305.2278718530595,33907200
80,2021-04-29,327.2242126464844,329.5082455205875,319.37899037048027,327.8299665552439,56526800
81,2021-04-30,322.824951171875,327.53209104824134,322.248987887127,323.8776259782797,26332400
82,2021-05-03,320.34228515625,326.27087314382874,319.60742815166054,323.907408395523,18719500
83,2021-05-04,316.15155029296875,319.9549988930355,310.9479094073585,317.8000386565058,24032600
84,2021-05-05,312.8347473144531,318.83285731643707,312.30842504926153,315.98277088195334,15577600
85,2021-05-06,317.800048828125,318.0185239268124,311.09687276652534,312.33820166682153,19012200
86,2021-05-07,316.8665771484375,320.69981667352516,316.5388796429248,320.143703732976,15916700
87,2021-05-10,303.8475341796875,312.3977933814333,302.7154276382799,312.1694082519749,24239200
88,2021-05-11,304.4036560058594,304.7115031678488,297.61110747680095,298.66375202538734,18920100
89,2021-05-12,300.4512634277344,302.8445494114103,296.121522359294,299.0411306344249,24645500
90,2021-05-13,303.1424865722656,306.71748989994825,300.66973856002795,303.9567753757269,18079200
91,2021-05-14,313.7483825683594,314.65207369614257,306.9359534150257,307.3927842966852,19245700
92,2021-05-17,313.2716979980469,313.49017310689794,309.4186080633365,311.3749437134494,15401300
93,2021-05-18,307.8098449707031,314.304486446428,307.66089155963004,313.4007953447419,14522400
94,2021-05-19,311.4146423339844,312.4772270849574,301.4641613514185,302.0798556016258,19106200
95,2021-05-20,316.39984130859375,317.0354162827345,310.9876652282522,311.4047347873846,17320200
96,2021-05-21,314.036376953125,317.7106924961839,313.6192770874103,317.07514782686013,13600900
97,2021-05-24,322.3781433105469,323.68899413744924,315.8239194819217,316.00266360216654,16445400
98,2021-05-25,325.51617431640625,326.8965163184287,322.5468949273761,324.8110776685687,16437000
99,2021-05-26,325.3870544433594,327.54198436900356,323.5598220015561,326.07227039727064,9686900
100,2021-05-27,330.4417419433594,331.4645957099421,324.4933037547175,325.72469228376224,20477700
101,2021-05-28,326.44964599609375,330.56091149903165,326.05239650868407,328.7038883383271,12037400
102,2021-06-01,326.8468322753906,329.1209550465971,324.37411508635194,327.85974563220555,11765900
103,2021-06-02,326.86676025390625,329.5678934861235,324.8508430835817,328.0882389524726,11654300
104,2021-06-03,323.7783203125,325.1090213066614,321.23608105411955,323.520114193703,12610800
105,2021-06-04,328.0584411621094,330.15379001187324,322.92429097426816,323.63929770571855,13289400
106,2021-06-07,334.2451477050781,335.3474634485492,326.6482214412393,327.19442430172865,20136700
107,2021-06-08,331.3652648925781,335.95321124660705,329.93525170354593,334.36433464179675,14580500
108,2021-06-09,327.9590759277344,334.4636268555768,327.7108101624598,333.4109824352829,13727900
109,2021-06-10,330.1537780761719,331.6235225004314,326.2708973852136,328.49537952813114,13240200
110,2021-06-11,328.9621276855469,330.52121388823963,326.64827344168265,330.27294808646184,13587900
111,2021-06-14,334.433837890625,334.4835092274623,327.5221274355902,329.59762560722135,12250800
112,2021-06-15,334.4140319824219,337.5620556551971,332.7059620693409,334.65235745209895,15795200
113,2021-06-16,328.7833251953125,335.2084448088056,326.439710773516,334.3643653995588,17232200
114,2021-06-17,334.1756591796875,335.6354630864585,327.8597623748833,328.1974001777303,17794100
115,2021-06-18,327.3731994628906,333.81816956514166,326.71777415159494,332.20941212190775,23039500
116,2021-06-21,329.9849548339844,330.61058945270315,325.3771273795917,328.7932669596741,11337500
117,2021-06-22,336.67816162109375,337.56200227451876,330.2927735400573,330.3821455770533,15345300
118,2021-06-23,338.22735595703125,341.0377414877368,335.8539509185642,336.9959674168666,14817800
119,2021-06-24,340.7994079589844,342.5074778063374,339.41906592570973,339.47864729083625,12329100
120,2021-06-25,339.001953125,341.7328767106353,337.3236740242663,340.2134913461353,14594400
121,2021-06-28,353.1729736328125,355.65563137017324,339.39916304899543,340.0843790089774,29156100
122,2021-06-29,349.44903564453125,354.265368080388,346.6287093933313,353.79862714859274,21417300
123,2021-06-30,345.2979736328125,350.4718543781205,344.76174136100525,349.72705702806195,15107500
124,2021-07-01,351.9316711425781,352.2097276177686,344.0963881893645,344.41417567697727,17137000
125,2021-07-02,352.239501953125,353.9674220897666,350.17391368538927,352.6367211412645,11521300
126,2021-07-06,350.33282470703125,356.30114407035626,346.7577912256229,354.02702092017273,13488500
127,2021-07-07,348.0586853027344,354.0170640582016,347.57209406891997,352.79561580909495,14218900
128,2021-07-08,343.2522888183594,345.91369091939293,340.1837271688575,343.33175084560787,14406500
129,2021-07-09,347.9891662597656,348.2771327231589,342.87486732307934,342.9245386589562,13018700
130,2021-07-12,350.71014404296875,351.73299775376694,347.2145730801945,348.79353966448224,10018600
131,2021-07-13,349.64764404296875,356.0032429269758,346.3804573901869,349.0617403487909,11456000
132,2021-07-14,345.2185363769531,352.73603144965426,344.3247856324014,352.1004565076469,13894200
133,2021-07-15,342.07049560546875,346.80742583126903,337.85991789887277,346.80742583126903,14781600
134,2021-07-16,338.7934265136719,343.5899081740883,337.7805130149065,342.5174133110356,11026100
135,2021-07-19,334.6126403808594,337.4329360890241,332.2193545536119,335.22833468467167,14372300
136,2021-07-20,339.2899475097656,341.0675389712737,332.1796119696146,336.44977124178934,11024300
137,2021-07-21,343.8282470703125,344.11621354828037,338.88278193590014,339.13104771021216,9279700
138,2021-07-22,348.7538757324219,349.1014539216713,342.81534674837894,344.27515089851886,12385400
139,2021-07-23,367.2248229980469,372.7263709130637,354.712221510125,358.4064175626375,33694300
140,2021-07-26,369.87628173828125,371.8425576289156,365.6657038011167,367.01625509949724,14925200
141,2021-07-27,365.2585754394531,370.5615293237317,362.02117968943355,369.33014064595517,15705400
142,2021-07-28,370.6905822753906,374.93095068238745,364.38462570750005,371.9617017952176,29676900
143,2021-07-29,355.8343505859375,362.98438618631917,354.26529403428776,358.49575222098156,33413200
144,2021-07-30,353.828369140625,358.22766169034094,350.491691683396,351.5443361411562,15976200
145,2021-08-02,349.50860595703125,356.906908626089,348.3069776627504,355.61593858624593,13180400
146,2021-08-03,348.803466796875,351.3159151790246,345.2880453111315,350.28315139524244,12406100
147,2021-08-04,356.43023681640625,357.9794128958687,349.0716352860186,349.97532638335207,14180600
148,2021-08-05,360.4521179199219,361.3756593379675,354.4242175743126,357.14523110122803,10247200
149,2021-08-06,360.9884033203125,362.6170111631922,358.893024268515,358.893024268515,8925000
150,2021-08-09,359.1015625,363.2426493012661,358.2475427107706,361.23667258484005,7798900
151,2021-08-10,358.6249084472656,361.5743072827586,356.5494100527903,359.3200344847057,7469900
152,2021-08-11,357.46295166015625,359.84629681675466,355.3278722554093,359.5881210428261,8400300
153,2021-08-12,360.13427734375,360.48185544185276,354.63270004502505,355.9634310841471,7170700
154,2021-08-13,360.6606750488281,362.1304194515307,358.9724858422268,360.4521402686356,7195700
155,2021-08-16,364.0172119140625,364.4045210745695,354.90089981921847,360.00522845589376,11222100
156,2021-08-17,355.9634704589844,362.1403239821523,352.606912425003,360.4620449651616,12328700
157,2021-08-18,352.9843444824219,357.36372674757365,352.6864073237661,353.7787829603999,10042400
158,2021-08-19,352.65655517578125,355.08957183761447,348.5651401460842,348.912718284329,12004500
159,2021-08-20,356.8770751953125,357.4927694576704,350.85911533837884,352.14017520075987,8697700
160,2021-08-23,360.82952880859375,363.1532931180248,356.6090101030027,356.9466479627438,10942000
161,2021-08-24,362.97454833984375,365.4075350526847,359.3299929768121,361.1373753161005,9235100
162,2021-08-25,365.8345642089844,368.2874012019985,362.8652846539713,363.06390941492083,9684500
163,2021-08-26,361.85235595703125,366.877253078658,361.6040901691806,365.82460856264174,7888700
164,2021-08-27,370.0450744628906,371.147359857758,361.5543675393287,362.5673112058317,11219100
165,2021-08-30,378.0194396972656,378.843668815076,367.94976434643246,369.97562175122965,13547300
166,2021-08-31,376.7483215332031,380.10487999697085,376.1723279061096,377.3143748304173,12345400
167,2021-09-01,379.3997802734375,381.66396313831876,376.18226523015454,376.9568533074591,11567200
168,2021-09-02,372.67669677734375,379.1018158642127,371.46515865520854,378.8535501039873,14832900
169,2021-09-03,373.64996337890625,374.54371418349507,370.5217901040204,372.1504282729059,7509600
170,2021-09-07,379.5288391113281,380.303427098371,370.56148074730555,373.2725538548956,10793800
171,2021-09-08,374.9508361816406,378.22793223895627,372.19012201827695,377.5228659344318,11067200
172,2021-09-09,375.3778076171875,377.19509954170064,373.95773482474465,375.02031949008745,9098900
173,2021-09-10,376.0631103515625,381.1277387962936,375.6361004436162,378.71457215753986,11549600
174,2021-09-13,373.8982238769531,379.1018651904603,371.7532037928041,379.0323434951405,13026300
175,2021-09-14,373.91802978515625,375.9637372479582,372.5078669166244,374.7819897915199,8711600
176,2021-09-15,371.326171875,374.9409058407148,365.11952742999154,374.38479292291254,17940300
177,2021-09-16,370.4721374511719,370.9686690276953,367.14536982728856,370.2040213099669,11934200
178,2021-09-17,362.19000244140625,368.83359750741874,359.08170985434447,368.83359750741874,26299000
179,2021-09-20,353.2325439453125,358.5255567412185,347.3734476237028,356.80754673058533,19822800
180,2021-09-21,355.0002746582031,357.5425142478172,352.726151245893,356.013188300571,11751900
181,2021-09-22,340.82916259765625,347.4131755007979,338.3266546093435,344.82129547424677,43692900
182,2021-09-23,343.56011962890625,347.24440574358306,340.6206611842172,342.9642756764454,21806300
183,2021-09-24,350.5115966796875,351.89196914576627,339.9950604855322,340.8590206651882,18801900
184,2021-09-27,351.1272277832031,352.68634408018727,344.67231781299654,347.3833909106001,15205800
185,2021-09-28,338.2869567871094,347.1748841230016,336.56897692930727,345.5561863357287,21710300
186,2021-09-29,337.254150390625,342.83519056135003,336.52923371146676,340.76960230808635,14452200
187,2021-09-30,337.0357360839844,340.42205494779716,335.8043171003503,338.08838065803866,16547100
188,2021-10-01,340.630615234375,342.6266516425788,336.2909339336575,339.2403025206699,14905300
189,2021-10-04,323.96697998046875,333.6096140159672,320.46146851508894,333.2024545158559,42885000
190,2021-10-05,330.6502685546875,332.8548697640081,323.89745185713826,326.30064749528105,35377900
191,2021-10-06,331.3255615234375,332.0604184625385,323.53992075434644,327.45259148923475,26443000
192,2021-10-07,326.9362487792969,336.4895113551633,326.6979233231299,334.66227881082483,28307500
193,2021-10-08,327.760498046875,331.0872658382954,326.4297969914836,329.2103921435758,15946100
194,2021-10-11,323.1924133300781,328.1676390888034,323.05336994266753,325.3572837172374,14708200
195,2021-10-12,321.5240173339844,322.1298015621059,315.16841978530687,320.7891603644766,31658700
196,2021-10-13,322.2887268066406,324.73165369743293,320.4217632147295,324.7018630148336,14761500
197,2021-10-14,326.25103759765625,328.22722358123883,324.8309645572515,326.08220352646043,14302200
198,2021-10-15,322.5072021484375,326.78730195164854,320.27281003421854,326.3999927716936,21596400
199,2021-10-18,333.0137939453125,333.5599968627541,325.22818246588844,326.6681361594644,21585000
200,2021-10-19,337.6315002441406,340.0843672158299,334.940307835811,337.2938624402736,18786300
201,2021-10-20,338.4160461425781,341.5938602237762,337.0952855380206,341.0675379865776,13639500
202,2021-10-21,339.5084533691406,339.93546327387196,335.4567385215077,337.9195461799882,16354400
203,2021-10-22,322.3581848144531,327.3433807629827,318.8824641103329,324.08613514392806,35224500
204,2021-10-25,326.409912109375,327.2738721557028,317.5021349079901,318.07809817024844,38409000
205,2021-10-26,313.6192321777344,327.9193337074258,307.4523192648189,325.982878988023,65654000
206,2021-10-27,310.05419921875,317.03543243091343,309.89530546712155,312.01053497096626,29971800
