Price,Date,Close,High,Low,Open,Volume
Ticker,,MSFT,MSFT,MSFT,MSFT,MSFT
0,2021-01-04,208.8822479248047,213.97740256707098,206.11876826469393,213.52641763249963,37130100
1,2021-01-05,209.08367919921875,209.67860372506547,206.97269494474443,208.4695744226187,23823000
2,2021-01-06,203.6623077392578,207.73076146630103,203.36485276551582,203.58554280387045,35930700
3,2021-01-07,209.4579620361328,210.46548187724906,205.06328210079494,205.3799173889524,27694500
4,2021-01-08,210.73410034179688,211.6552648790283,208.24889607857534,209.83213069780732,22956200
5,2021-01-11,208.69032287597656,210.0528676774654,207.961063234746,209.63066780968265,23031300
6,2021-01-12,206.23388671875,208.31610101495866,204.68904166255604,207.74037126573907,23249300
7,2021-01-13,207.58682250976562,207.98982744101792,205.27432823721875,205.36069794074126,20087100
8,2021-01-14,204.40113830566406,208.66149665183414,204.1324683776545,207.17420728087288,29480800
9,2021-01-15,204.04612731933594,205.83087188668628,203.45121734402414,204.88093687983877,31746500
10,2021-01-19,207.68280029296875,208.20094535182324,204.0269559335494,205.10163584312352,30480900
11,2021-01-20,215.26316833496094,216.6544982014575,208.4984094044723,208.89182426038445,37777300
12,2021-01-21,215.86766052246094,217.1438501575346,213.42083121134726,215.60858068821213,30709400
13,2021-01-22,216.8079833984375,220.76129675652857,216.66405830590344,217.89226790023852,30172700
14,2021-01-25,220.24314880371094,220.48303373157987,215.14799527840105,219.84973400806652,33152100
15,2021-01-26,222.9298858642578,224.7050257283065,220.7709212912737,222.47890098214344,49169600
16,2021-01-27,223.47682189941406,230.71176046047944,220.82849722353762,228.37048091852017,69870600
17,2021-01-28,229.2628173828125,232.82271617243214,225.5781883862381,226.07715313829948,49111200
18,2021-01-29,222.57484436035156,228.38965283762465,221.989524533748,226.44178833824543,42503100
19,2021-02-01,229.95367431640625,232.68836821174884,223.0257967801908,225.54939077841996,33314200
20,2021-02-02,229.81936645507812,232.50608075588323,229.03255145237534,231.53695085313288,25916300
21,2021-02-03,233.16815185546875,235.17358635543027,229.57946803336847,229.87693764522302,27158100
22,2021-02-04,232.21823120117188,233.3984757451428,230.64458645062663,232.84194088146734,25296100
23,2021-02-05,232.4005126953125,233.43681732954676,230.69253319854138,232.4292977150345,18054800
24,2021-02-08,232.65960693359375,233.82064184477534,231.06676741699246,233.31208694294955,22211900
25,2021-02-09,233.90704345703125,234.8569785791358,231.6137437019394,232.08390887828068,23565000
26,2021-02-10,232.9954833984375,235.97004827617175,231.14356379496923,235.08727333327803,22186700
27,2021-02-11,234.59788513183594,235.23117025659255,232.3525509282651,234.87614522468496,15751100
28,2021-02-12,235.07765197753906,235.37510696165688,232.90908274109216,234.06052752923827,16561100
29,2021-02-16,233.83981323242188,236.17150222991458,233.09137346567442,235.11600274275108,26728500
30,2021-02-17,234.8592987060547,234.9650917712769,231.72399963468183,232.0894692554744,21653500
31,2021-02-18,234.4649658203125,234.5996101987233,231.64704608816618,232.55109320398296,16925600
32,2021-02-19,231.75283813476562,234.53229432170122,230.993047615162,234.42650126233121,25262600
33,2021-02-22,225.5399169921875,228.82909920704134,223.51062453702826,228.33861214281137,36446900
34,2021-02-23,224.3473663330078,225.84769358188825,219.98101428804915,221.51981974467014,30228700
35,2021-02-24,225.57838439941406,226.20351580478894,220.24067088187863,221.21203274988108,26339700
36,2021-02-25,220.23109436035156,225.6168844933576,219.16355148383207,223.20289775237097,39542200
37,2021-02-26,223.49143981933594,226.36706254282802,220.7600590313648,222.67394655856364,37819200
38,2021-03-01,227.8769989013672,228.38672511898815,224.23195895822414,226.87677089593706,25324000
